model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
extension_2025,episode_vs_reference,hierarchical_city_independent_year,5000,1709,3291,0.6582,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_reference,synchronized_year_fixed_cities,5000,0,5000,1.0,,,all_11_city_point_unavailable_percentiles_suppressed,fixed_11_cities,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_reference,synchronized_year_resampled_cities,5000,1759,3241,0.6482,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,-0.13694478717899003,0.6015899200096296,city_resampling_only_no_temporal_uncertainty,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,,,no_temporal_interval_single_year,fixed_11_cities,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,-0.13769059710450932,0.6092071005211117,city_resampling_only_no_temporal_uncertainty,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.057459833869503,3.162082488916264,city_resampling_only_no_temporal_uncertainty,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,,,no_temporal_interval_single_year,fixed_11_cities,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.0364974324347864,3.1733275892818242,city_resampling_only_no_temporal_uncertainty,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.6819290614919042,3.6695054047221913,city_resampling_only_no_temporal_uncertainty,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,,,no_temporal_interval_single_year,fixed_11_cities,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.7032247107318763,3.7060021626252175,city_resampling_only_no_temporal_uncertainty,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_wind_only,hierarchical_city_independent_year,5000,1709,3291,0.6582,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_wind_only,synchronized_year_fixed_cities,5000,0,5000,1.0,,,all_11_city_point_unavailable_percentiles_suppressed,fixed_11_cities,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_wind_only,synchronized_year_resampled_cities,5000,1759,3241,0.6482,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_heat_only,hierarchical_city_independent_year,5000,1709,3291,0.6582,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_heat_only,synchronized_year_fixed_cities,5000,0,5000,1.0,,,all_11_city_point_unavailable_percentiles_suppressed,fixed_11_cities,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
extension_2025,episode_vs_heat_only,synchronized_year_resampled_cities,5000,1759,3241,0.6482,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,1,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
